Age_Range,Age_Guess,Degree,Job_Title,Coding_Years,ML_Years,ML_Years_Guess,Salary_Range,Salary_Guess
18-21,19,Doctoral degree,Research Scientist,20+ years,20 or more years,26,"> $500,000",719478
18-21,19,No formal education past high school,Other,< 1 years,I do not use machine learning methods,0,$0-999,427
18-21,20,Bachelor's degree,Machine Learning Engineer,3-5 years,Under 1 year,0.8,$0-999,573
18-21,21,Bachelor's degree,Research Scientist,1-2 years,Under 1 year,0.5,$0-999,366
18-21,21,Some college/university study without earning a bachelor's degree,Research Scientist,1-2 years,I do not use machine learning methods,0,"1,000-1,999",1033
18-21,21,Bachelor's degree,Software Engineer,3-5 years,Under 1 year,1.0,"15,000-19,999",15923
18-21,21,No formal education past high school,Software Engineer,3-5 years,1-2 years,2,"2,000-2,999",2652
18-21,19,Bachelor's degree,Data Analyst,1-2 years,1-2 years,1,"20,000-24,999",23922
18-21,18,Master's degree,Data Scientist,3-5 years,2-3 years,2,"250,000-299,999",279739
18-21,19,Bachelor's degree,Business Analyst,I have never written code,,,"30,000-39,999",36010
18-21,21,Bachelor's degree,Software Engineer,3-5 years,Under 1 year,0.2,"30,000-39,999",33153
18-21,20,Bachelor's degree,Data Scientist,5-10 years,3-4 years,4,"300,000-500,000",426902
18-21,21,Master's degree,Research Scientist,3-5 years,I do not use machine learning methods,0,"40,000-49,999",45858
18-21,21,Bachelor's degree,Other,1-2 years,1-2 years,1,"5,000-7,499",5098
18-21,20,Bachelor's degree,Software Engineer,3-5 years,1-2 years,1,"80,000-89,999",82624
18-21,19,Master's degree,Software Engineer,3-5 years,I do not use machine learning methods,0,"90,000-99,999",98016
18-21,18,Bachelor's degree,Student,1-2 years,1-2 years,1,,
18-21,18,Some college/university study without earning a bachelor's degree,Student,5-10 years,1-2 years,2,,
18-21,18,Master's degree,Student,3-5 years,2-3 years,2,,
18-21,18,Doctoral degree,Student,3-5 years,3-4 years,3,,
18-21,18,Master's degree,Student,5-10 years,4-5 years,4,,
18-21,18,Bachelor's degree,Student,1-2 years,I do not use machine learning methods,0,,
18-21,18,Bachelor's degree,Student,1-2 years,I do not use machine learning methods,0,,
18-21,18,Bachelor's degree,Student,1-2 years,I do not use machine learning methods,0,,
18-21,18,Bachelor's degree,Student,3-5 years,I do not use machine learning methods,0,,
18-21,18,I prefer not to answer,Student,1-2 years,I do not use machine learning methods,0,,
18-21,18,Some college/university study without earning a bachelor's degree,Student,< 1 years,I do not use machine learning methods,0,,
